2459374.500000000, A.D. 2021-Jun-09 00:00:00.0000,  2.612916514631867E-01,  1.132451038609109E+08,  1.026161174692016E+00,  7.618620510419315E+01,  2.652463269261002E+02,  2.459431708312391E+06,  1.099660964181762E-05,  3.056459777601976E+02,  2.769378112927412E+02,  1.533015080785531E+08,  1.933579122961954E+08,  3.273736285327447E+07,
2459375.500000000, A.D. 2021-Jun-10 00:00:00.0000,  2.612856849774513E-01,  1.132455950173617E+08,  1.026158370608564E+00,  7.618619753170113E+01,  2.652462524245465E+02,  2.459431708576593E+06,  1.099667132940116E-05,  3.065955342322445E+02,  2.780676278317259E+02,  1.533009347651601E+08,  1.933562745129585E+08,  3.273717920781074E+07,
2459376.500000000, A.D. 2021-Jun-11 00:00:00.0000,  2.612802592202373E-01,  1.132460128893142E+08,  1.026155069209199E+00,  7.618618498140374E+01,  2.652462254841412E+02,  2.459431708826143E+06,  1.099673161688947E-05,  3.075451219598907E+02,  2.792086293088033E+02,  1.533003744691813E+08,  1.933547360490484E+08,  3.273699973245590E+07,
2459377.500000000, A.D. 2021-Jun-12 00:00:00.0000,  2.612753071707711E-01,  1.132463701573492E+08,  1.026151466553000E+00,  7.618616725368034E+01,  2.652462354218868E+02,  2.459431709060576E+06,  1.099679015391058E-05,  3.084947426652496E+02,  2.803609597744559E+02,  1.532998304464805E+08,  1.933532907356119E+08,  3.273682547011047E+07,
2459378.500000000, A.D. 2021-Jun-13 00:00:00.0000,  2.612707724210477E-01,  1.132466770526252E+08,  1.026147705178665E+00,  7.618614447060641E+01,  2.652462736775491E+02,  2.459431709279825E+06,  1.099684670986543E-05,  3.094443970172746E+02,  2.815247576593599E+02,  1.532993048397044E+08,  1.933519326267837E+08,  3.273665710708133E+07,
2459379.500000000, A.D. 2021-Jun-14 00:00:00.0000,  2.612666071870952E-01,  1.132469418871007E+08,  1.026143888413566E+00,  7.618611694798903E+01,  2.652463333623704E+02,  2.459431709484094E+06,  1.099690114110956E-05,  3.103940849581035E+02,  2.827001559415286E+02,  1.532987989833325E+08,  1.933506560795643E+08,  3.273649507079927E+07,
2459380.500000000, A.D. 2021-Jun-15 00:00:00.0000,  2.612627707411577E-01,  1.132471714554799E+08,  1.026140090666072E+00,  7.618608511065632E+01,  2.652464089150949E+02,  2.459431709673761E+06,  1.099695336741982E-05,  3.113438059315453E+02,  2.838872821424162E+02,  1.532983136224204E+08,  1.933494557893609E+08,  3.273633959988917E+07,
2459381.500000000, A.D. 2021-Jun-16 00:00:00.0000,  2.612592281665622E-01,  1.132473713430878E+08,  1.026136364904985E+00,  7.618604943658605E+01,  2.652464958370239E+02,  2.459431709849321E+06,  1.099700335495682E-05,  3.122935590442624E+02,  2.850862581940565E+02,  1.532978490709614E+08,  1.933483267988349E+08,  3.273619079489800E+07,
2459382.500000000, A.D. 2021-Jun-17 00:00:00.0000,  2.612559493616547E-01,  1.132475461639845E+08,  1.026132748145234E+00,  7.618601042041993E+01,  2.652465904859192E+02,  2.459431710011336E+06,  1.099705110382645E-05,  3.132433431801448E+02,  2.862972002064591E+02,  1.532974053274985E+08,  1.933472644910126E+08,  3.273604865532880E+07,
2459383.500000000, A.D. 2021-Jun-18 00:00:00.0000,  2.612529082372992E-01,  1.132476997467899E+08,  1.026129265504462E+00,  7.618596855006841E+01,  2.652466899142187E+02,  2.459431710160412E+06,  1.099709663893478E-05,  3.141931570817960E+02,  2.875202181558795E+02,  1.532969821601236E+08,  1.933462645734572E+08,  3.273591310686808E+07,
2459384.500000000, A.D. 2021-Jun-19 00:00:00.0000,  2.612500820658795E-01,  1.132478352809215E+08,  1.026125933224278E+00,  7.618592429219638E+01,  2.652467917409481E+02,  2.459431710297171E+06,  1.099714000322584E-05,  3.151429994087005E+02,  2.887554155087646E+02,  1.532965791693266E+08,  1.933453230577317E+08,  3.273578402151829E+07,
2459385.500000000, A.D. 2021-Jun-20 00:00:00.0000,  2.612474509497109E-01,  1.132479554325689E+08,  1.026122760933668E+00,  7.618587808371156E+01,  2.652468940495420E+02,  2.459431710422240E+06,  1.099718125266050E-05,  3.160928687787228E+02,  2.900028887922157E+02,  1.532961958346621E+08,  1.933444362367552E+08,  3.273566123254600E+07,
2459386.500000000, A.D. 2021-Jun-21 00:00:00.0000,  2.612449973842125E-01,  1.132480624373381E+08,  1.026119753353151E+00,  7.618583032730530E+01,  2.652469953057440E+02,  2.459431710536242E+06,  1.099722045247754E-05,  3.170427637976196E+02,  2.912627271191291E+02,  1.532958315494971E+08,  1.933436006616562E+08,  3.273554454561256E+07,
2459387.500000000, A.D. 2021-Jun-22 00:00:00.0000,  2.612427058968297E-01,  1.132481581747488E+08,  1.026116911582302E+00,  7.618578138968995E+01,  2.652470942912238E+02,  2.459431710639787E+06,  1.099725767440593E-05,  3.179926830798883E+02,  2.925350116743285E+02,  1.532954856469184E+08,  1.933428131190879E+08,  3.273543374707252E+07,
2459388.500000000, A.D. 2021-Jun-23 00:00:00.0000,  2.612405627469434E-01,  1.132482442285166E+08,  1.026114234075219E+00,  7.618573160160335E+01,  2.652471900495785E+02,  2.459431710733471E+06,  1.099729299458594E-05,  3.189426252633435E+02,  2.938198151667839E+02,  1.532951574190506E+08,  1.933420706095847E+08,  3.273532861016171E+07,
